company_id,company_name,SASB
2515,中工,公共建設
2516,新建,公共建設
2520,冠德,公共建設
2524,京城,公共建設
2527,宏璟,公共建設
2528,皇普,公共建設
2530,華建,公共建設
2534,宏盛,公共建設
2535,達欣工,公共建設
2536,宏普,公共建設
2537,聯上發,公共建設
2538,基泰,公共建設
2539,櫻花建,公共建設
2540,愛山林,公共建設
2542,興富發,公共建設
2543,皇昌,公共建設
2545,皇翔,公共建設
2546,根基,公共建設
2547,日勝生,公共建設
2548,華固,公共建設
2549,遠揚建設,公共建設
2557,泛亞工程,公共建設
2568,世正開發,公共建設
2579,鈺通營造,公共建設
2580,遠揚營造,公共建設
2596,綠意,公共建設
2597,潤弘,公共建設
2599,樂揚,公共建設
2601,益航,消費品
2603,長榮,運輸
2605,新興,運輸
2606,裕民,運輸
2607,榮運,運輸
2608,嘉里大榮,運輸
2609,陽明,運輸
2610,華航,運輸
2611,志信,運輸
2612,中航,運輸
2613,中櫃,運輸
2614,東森,消費品
2615,萬海,運輸
2616,山隆,提煉與礦產加工
2617,台航,運輸
2618,長榮航,運輸
2619,新竹物流,運輸
2621,立榮航空,運輸
2630,亞航,資源轉化
2633,台灣高鐵,運輸
2634,漢翔,資源轉化
2636,台驊投控,運輸
2637,慧洋-KY,運輸
2640,大車隊,運輸
2641,正德,運輸
2642,宅配通,運輸
2643,捷迅,運輸
2644,中信造船,資源轉化
2645,長榮航太,資源轉化
2646,星宇航空,運輸
2701,萬企,公共建設
2702,華園,服務
2704,國賓,服務
2705,六福,服務
2706,第一店,公共建設
2707,晶華,服務
2711,凱撒飯店,服務
2712,遠雄來,服務
2716,長榮國際,運輸
2718,晶悅,公共建設
2719,燦星旅,服務
2722,夏都,服務
2723,美食-KY,食品與飲料
2724,富驛-KY,服務
2726,雅茗-KY,食品與飲料
2727,王品,食品與飲料
2729,瓦城,食品與飲料
2730,美麗信,服務
2731,雄獅,服務
2732,六角,食品與飲料
2733,維格,食品與飲料
2734,易飛網,科技與通訊
2736,富野,服務
2739,寒舍,服務
2740,天蔥,食品與飲料
2741,老四川,食品與飲料
2743,山富,服務
2745,五福,服務
2748,雲品,服務
2750,桃禧,服務
2751,王座,食品與飲料
2752,豆府,食品與飲料
2753,八方雲集,食品與飲料
2754,亞洲藏壽司,食品與飲料
2755,揚秦,食品與飲料
2756,聯發國際,食品與飲料
2758,路易莎咖啡,食品與飲料
2759,咖碼,食品與飲料
2761,橘焱國際,食品與飲料
2801,彰銀,金融
2807,渣打銀行,金融
2809,京城銀,金融
2812,台中銀,金融
2816,旺旺保,金融
2820,華票,金融
2832,台產,金融
2834,臺企銀,金融
2836,高雄銀,金融
2838,聯邦銀,金融
2841,台開,公共建設
2845,遠東銀,金融
2849,安泰銀,金融
2850,新產,金融
2851,中再保,金融
2852,第一保,金融
2855,統一證,金融
2858,中租迪和,金融
2863,泰安產物,金融
2867,三商壽,金融
2872,台灣票券,金融
2873,大中票券金融,金融
2874,萬通票券金融,金融
2876,宏泰人壽,金融
2880,華南金,金融
2881,富邦金,金融
2882,國泰金,金融
2883,開發金,金融
2884,玉山金,金融
2885,元大金,金融
2886,兆豐金,金融
2887,台新金,金融
2888,新光金,金融
2889,國票金,金融
2890,永豐金,金融
2891,中信金,金融
2892,第一金,金融
2894,大慶票券,金融
2895,陽信商銀,金融
2897,王道銀行,金融
2899,台北金融大樓,公共建設
2901,欣欣,消費品
2903,遠百,消費品
2904,匯僑,公共建設
2905,三商,金融
2906,高林,消費品
2908,特力,消費品
2910,統領,消費品
2911,麗嬰房,消費品
2912,統一超,食品與飲料
2913,農林,消費品
2915,潤泰全,消費品
2916,滿心,消費品
2920,海景,服務
2923,鼎固-KY,公共建設
2924,東凌-KY,消費品
2926,誠品生活,消費品
2929,淘帝-KY,消費品
2937,集雅社,消費品
2938,床的世界,消費品
2939,凱羿-KY,消費品
2940,歐都納,消費品
2941,米斯特,消費品
2942,京站,消費品
2945,三商家購,食品與飲料
2947,振宇五金,消費品
2948,寶陞,消費品
3002,歐格,科技與通訊
3003,健和興,科技與通訊
3004,豐達科,資源轉化
3005,神基,科技與通訊
3006,晶豪科,科技與通訊
3008,大立光,科技與通訊
3010,華立,科技與通訊
3011,今皓,資源轉化
3013,晟銘電,科技與通訊
3014,聯陽,科技與通訊
3015,全漢,資源轉化
3016,嘉晶,科技與通訊
3017,奇鋐,科技與通訊
3018,同開,公共建設
3019,亞光,科技與通訊
3021,鴻名,科技與通訊
3022,威強電,科技與通訊
3023,信邦,科技與通訊
3024,憶聲,消費品
3025,星通,科技與通訊
3026,禾伸堂,科技與通訊
3027,盛達,科技與通訊
3028,增你強,科技與通訊
3029,零壹,科技與通訊
3030,德律,資源轉化
3031,佰鴻,科技與通訊
3032,偉訓,科技與通訊
3033,威健,科技與通訊
3034,聯詠,科技與通訊
3035,智原,科技與通訊
3036,文曄,科技與通訊
3037,欣興,科技與通訊
3038,全台,科技與通訊
3040,遠見,公共建設
3041,揚智,科技與通訊
3042,晶技,科技與通訊
3043,科風,資源轉化
3044,健鼎,科技與通訊
3045,台灣大,科技與通訊
3046,建碁,科技與通訊
3047,訊舟,科技與通訊
3048,益登,科技與通訊
3049,和鑫,科技與通訊
3050,鈺德,科技與通訊
3051,力特,科技與通訊
3052,夆典,公共建設
3054,立萬利,科技與通訊
3055,蔚華科,科技與通訊
3056,總太,公共建設
3057,喬鼎,科技與通訊
3058,立德,資源轉化
3059,華晶科,科技與通訊
3060,銘異,科技與通訊
3062,建漢,科技與通訊
3064,泰偉,服務
3066,李洲,科技與通訊
3067,全域,科技與通訊
3071,協禧,資源轉化
3073,天方能源,可再生資源與替代能源
3078,僑威,資源轉化
3081,聯亞,科技與通訊
3083,網龍,科技與通訊
3085,新零售,科技與通訊
3086,華義,科技與通訊
3088,艾訊,科技與通訊
3089,億杰,科技與通訊
3090,日電貿,科技與通訊
3092,鴻碩,資源轉化
3093,港建,服務
3094,聯傑,科技與通訊
3095,及成,科技與通訊
3097,拍檔,科技與通訊
3105,穩懋,科技與通訊
3114,好德,科技與通訊
3115,富榮綱,科技與通訊
3117,年程,科技與通訊
3118,進階,醫療保健
3122,笙泉,科技與通訊
3128,昇銳,資源轉化
3130,一零四,科技與通訊
3131,弘塑,科技與通訊
3135,凌航,科技與通訊
3138,耀登,科技與通訊
3141,晶宏,科技與通訊
3147,大綜,科技與通訊
3149,正達,科技與通訊
3150,鈺寶,科技與通訊
3152,璟德,科技與通訊
3157,台灣之星,科技與通訊
3158,嘉實,科技與通訊
3162,精確,消費品
3163,波若威,科技與通訊
3164,景岳,醫療保健
3167,大量,資源轉化
3168,眾福科,科技與通訊
3169,亞信,科技與通訊
3171,新洲,資源轉化
3176,基亞,醫療保健
3178,公準,科技與通訊
3184,微邦,醫療保健
3188,鑫龍騰,公共建設
3189,景碩,科技與通訊
3191,和進,科技與通訊
3197,源河生技,醫療保健
3202,樺晟,資源轉化
3205,佰研,醫療保健
3206,志豐,科技與通訊
3207,耀勝,資源轉化
3209,全科,科技與通訊
3211,順達,科技與通訊
3213,茂訊,科技與通訊
3217,優群,科技與通訊
3218,大學光,醫療保健
3219,倚強科,資源轉化
3221,台嘉碩,科技與通訊
3224,三顧,科技與通訊
3226,至寶電,運輸
3227,原相,科技與通訊
3228,金麗科,科技與通訊
3229,晟鈦,科技與通訊
3230,錦明,資源轉化
3231,緯創,科技與通訊
3232,昱捷,科技與通訊
3234,光環,科技與通訊
3236,千如,資源轉化
3252,海灣,服務
3257,虹冠電,科技與通訊
3259,鑫創,科技與通訊
3260,威剛,科技與通訊
3264,欣銓,科技與通訊
3265,台星科,科技與通訊
3266,昇陽,公共建設
3268,海德威,科技與通訊
3272,東碩,科技與通訊
3276,宇環,科技與通訊
3284,太普高,資源轉化
3285,微端,科技與通訊
3287,廣寰科,科技與通訊
3288,點晶,科技與通訊
3289,宜特,科技與通訊
3290,東浦,資源轉化
3293,鈊象,科技與通訊
3294,英濟,科技與通訊
3296,勝德,資源轉化
3297,杭特,資源轉化
3303,岱稜,資源轉化
3305,昇貿,資源轉化
3306,鼎天,科技與通訊
3308,聯德,資源轉化
3310,佳穎,資源轉化
3311,閎暉,科技與通訊
3312,弘憶股,科技與通訊
3313,斐成,食品與飲料
3317,尼克森,科技與通訊
3321,同泰,科技與通訊
3322,建舜電,科技與通訊
3323,加百裕,科技與通訊
3324,雙鴻,科技與通訊
3325,旭品,科技與通訊
3332,幸康,資源轉化
3338,泰碩,資源轉化
3339,泰谷,科技與通訊
3342,飛虹高,科技與通訊
